Haplotype	Europe	North-East Asia	Western Asia	Weighted	Mean
15:01/06:02/04:01	8.0332	2.524345653744281	1.6185999999999998	8.013160788828065	4.05871521791476
01:01/05:01/04:01	3.6635999999999993	1.3884131952805203	0.0	3.652502728299349	1.68400439842684
03:01/02:01/04:01	3.41	0.7999717071996145	2.7239	3.4070497604044423	2.3112905690665384
11:01/03:01/04:01	3.2254000000000005	0.6402100890922225	0.476	3.216721433048901	1.447203363030741
03:01/02:01/01:01	3.015	0.7971773416807126	0.0	3.0057294543516675	1.2707257805602377
04:01/03:02/04:01	2.7746	0.4299999999999999	0.0	2.765947411539236	1.0681999999999998
07:01/02:01/04:01	2.4509	1.0200204671321935	1.9571	2.4489553740319217	1.8093401557107311
13:01/06:03/04:01	2.0973	0.7334228268721406	0.5713	2.0925114745995637	1.1340076089573803
01:01/05:01/04:02	2.0746	4.621076932338067	0.0	2.069847080647205	2.231892310779356
04:01/03:01/04:01	1.8404	0.2148940524921743	0.0	1.834632634009013	0.6850980174973915
07:01/03:03/04:01	1.7803	0.3495497230917408	0.0	1.7747775397792465	0.709949907697247
13:01/06:03/02:01	1.6639000000000002	0.5738207320009632	0.0	1.6588372822743516	0.7459069106669878
07:01/02:01/02:01	1.239	0.3430526125692271	1.2702000000000002	1.2387290383835525	0.9507508708564092
11:01/03:01/02:01	1.0631	0.6369040452684807	0.0	1.0599732413939902	0.5666680150894936
13:02/06:04/03:01	1.0558999999999996	0.3204683361425475	0.0	1.052669794346425	0.45878944538084904
15:01/06:02/02:01	1.0098	2.1992842523477	0.3112	1.0083320578778878	1.1734280841159
11:01/03:01/04:02	0.9882	0.2713502287503009	0.0	0.9851654941921559	0.4198500762501003
14:01/05:03/04:01	0.9454	0.2155953527570431	0.0	0.942479352700697	0.38699845091901436
13:02/06:04/04:01	0.8804999999999998	2.908362629424513	0.9261	0.8814364988321626	1.571654209808171
11:04/03:01/04:02	0.874	0.2392800385263664	0.0	0.8713158884898566	0.3710933461754555
01:01/05:01/02:01	0.8537000000000001	0.938583554057308	0.0	0.8513596665813569	0.597427851352436
01:01/05:01/03:01	0.8539000000000001	0.2600198651577172	0.0	0.8512880950494739	0.37130662171923906
03:01/02:01/03:01	0.8027999999999997	0.085808451721647	0.2332	0.8009296062753054	0.3739361505738822
03:01/02:01/02:01	0.7855000000000001	0.1185787382614977	1.0044000000000002	0.7858424960182779	0.6361595794204993
03:01/02:01/04:02	0.7684000000000003	0.2137316397784733	0.0	0.7660415355401522	0.3273772132594912
13:01/06:03/04:02	0.7291000000000001	0.2720238381892607	0.0	0.7268897991958296	0.3337079460630869
11:04/03:01/04:01	0.7243	0.1939555742836503	0.0	0.7220738940830157	0.3060851914278835
15:01/06:02/03:01	0.7096000000000001	0.31385685046954	0.0	0.7074685195703837	0.3411522834898467
04:01/03:02/02:01	0.6921999999999998	0.2255092704069347	0.0	0.6900885829222139	0.3059030901356448
13:01/06:03/03:01	0.6891999999999999	0.2594431736094389	0.4390999999999999	0.68833285436655	0.46258105786981296
11:01/03:01/03:01	0.6808000000000001	0.1486545870455092	0.0	0.6786941528627541	0.2764848623485031
16:01/05:02/04:01	0.6684000000000001	0.2195557428365037	0.3673	0.6673833970498626	0.4184185809455013
07:01/02:01/04:02	0.6655	0.3383415603178425	0.0	0.6635185504608183	0.33461385343928085
04:04/03:02/04:01	0.6525	0.2915416566337587	0.0	0.6505412092148676	0.3146805522112529
15:01/06:02/04:02	0.5966000000000001	0.4225144473874307	0.0	0.594871286903398	0.3397048157958103
13:02/06:04/02:01	0.5427000000000001	0.8366993739465447	0.4329999999999999	0.5425123007095859	0.6041331246488483
07:01/02:01/03:01	0.5244000000000001	0.0	2.6137	0.5300011720771236	1.0460333333333334
04:01/03:02/04:02	0.4664999999999999	0.1211154587045509	0.0	0.46506471219209783	0.1958718195681836
04:04/03:02/06:01	0.4451	0.0	0.0	0.4436844135691787	0.14836666666666667
14:01/05:03/02:01	0.3972999999999999	0.0	0.0	0.39603643565723357	0.1324333333333333
16:01/05:02/04:02	0.3930999999999999	0.1275090296171442	0.0	0.39190070477877803	0.1735363432057147
01:02/05:01/04:01	0.3843000000000001	0.1639290874066939	0.4297	0.384338272739177	0.325976362468898
15:01/06:02/05:01	0.3791	1.4377492174331807	0.0	0.37846837997215343	0.6056164058110602
11:04/03:01/02:01	0.3536	0.2682711293041175	0.0	0.3525825329156667	0.20729037643470583
07:01/02:01/01:01	0.3335999999999999	0.0	0.0	0.3325390257620265	0.11119999999999997
04:01/03:02/03:01	0.3189	0.1525132434384782	0.0	0.3179466724858234	0.15713774781282608
04:04/03:02/02:01	0.287	0.472632434384782	0.0	0.28627594306199683	0.25321081146159397
04:04/03:02/03:01	0.2796	0.0	0.0	0.2787107661962309	0.0932
